Subject,BestBeta_ECG,CR_ECG,PRD_ECG,BestBeta_PPG,CR_PPG,PRD_PPG
S1,4,2.11226285937806,0.102948858281613,3,3.31583310306715,0.0286008403783128
S2,3,2.16958958596999,0.102374372509011,3,3.3493564893782,0.0243492098261715
S3,5,1.76534048187257,0.0589122092317954,3,3.60180090045022,0.0386759488552966
S4,5,1.61502572078,0.0571567607346476,3,3.01162823122612,0.0257818433668001
S5,4,1.94591088448857,0.0564486819732051,3,3.3377630806317,0.0241042792795671
S6,5,1.76681335580022,0.0779311664273313,3,3.45876701361089,0.0277469130438386
S7,3,2.19744445348743,0.0735222510106096,2,3.54319084019553,0.0270630023932655
S8,3,1.46270112140419,0.084372816933154,3,3.4933367835425,0.0317440907185126
